Year,SP500,3MonthTBill,USTBond,BaaCorporateBond,RealEstate,SP500_3,3MonthTBill4,USTBond5,BaaCorporateBond6,RealEstate2,StocksBills,StocksBonds,StocksBaaCorpBond,HistoricalRiskPremium,InflationRate,SP5002,3MmonthTBill,10YearTBonds,BaaCorpBonds,RealEstate3
1928,43.81%,3.08%,0.84%,3.22%,1.49%,$143.81,$103.08,$100.84,$103.22,$101.49,40.73%,42.98%,40.59%,,-1.16%,45.49%,4.29%,2.01%,4.43%,2.68%
1929,-8.30%,3.16%,4.20%,3.02%,-2.06%,$131.88,$106.34,$105.07,$106.33,$99.40,-11.46%,-12.50%,-11.32%,,0.58%,-8.83%,2.56%,3.60%,2.42%,-2.63%
1930,-25.12%,4.55%,4.54%,0.54%,-4.30%,$98.75,$111.18,$109.85,$106.91,$95.13,-29.67%,-29.66%,-25.66%,,-6.40%,-20.01%,11.69%,11.68%,7.41%,2.24%
1931,-43.84%,2.31%,-2.56%,-15.68%,-8.15%,$55.46,$113.74,$107.03,$90.14,$87.38,-46.15%,-41.28%,-28.16%,,-9.32%,-38.07%,12.82%,7.45%,-7.02%,1.29%
1932,-8.64%,1.07%,8.79%,23.59%,-10.47%,$50.66,$114.96,$116.44,$111.41,$78.23,-9.71%,-17.43%,-32.23%,,-10.27%,1.82%,12.64%,21.25%,37.74%,-0.21%
1933,49.98%,0.96%,1.86%,12.97%,-3.81%,$75.99,$116.06,$118.60,$125.86,$75.25,49.02%,48.13%,37.02%,,0.76%,48.85%,0.20%,1.08%,12.11%,-4.54%
1934,-1.19%,0.28%,7.96%,18.82%,2.91%,$75.09,$116.39,$128.05,$149.54,$77.44,-1.47%,-9.15%,-20.00%,,1.52%,-2.66%,-1.22%,6.35%,17.04%,1.37%
1935,46.74%,0.17%,4.47%,13.31%,9.77%,$110.18,$116.58,$133.78,$169.44,$85.00,46.57%,42.27%,33.43%,,2.99%,42.49%,-2.74%,1.44%,10.02%,6.58%
1936,31.94%,0.17%,5.02%,11.38%,3.22%,$145.38,$116.78,$140.49,$188.73,$87.73,31.77%,26.93%,20.56%,,1.45%,30.06%,-1.26%,3.52%,9.79%,1.74%
1937,-35.34%,0.28%,1.38%,-4.42%,2.56%,$94.00,$117.11,$142.43,$180.39,$89.98,-35.61%,-36.72%,-30.92%,,2.86%,-37.13%,-2.51%,-1.44%,-7.07%,-0.29%
1938,29.28%,0.07%,4.21%,9.24%,-0.87%,$121.53,$117.18,$148.43,$197.05,$89.20,29.22%,25.07%,20.05%,,-2.78%,32.98%,2.92%,7.19%,12.36%,1.96%
1939,-1.10%,0.05%,4.41%,7.98%,-1.30%,$120.20,$117.24,$154.98,$212.78,$88.04,-1.14%,-5.51%,-9.08%,,0.00%,-1.10%,0.05%,4.41%,7.98%,-1.30%
1940,-10.67%,0.04%,5.40%,8.65%,3.31%,$107.37,$117.28,$163.35,$231.18,$90.95,-10.71%,-16.08%,-19.32%,,0.71%,-11.31%,-0.67%,4.65%,7.88%,2.57%
1941,-12.77%,0.13%,-2.02%,5.01%,-8.38%,$93.66,$117.43,$160.04,$242.76,$83.32,-12.90%,-10.75%,-17.78%,,9.93%,-20.65%,-8.91%,-10.87%,-4.48%,-16.66%
1942,19.17%,0.34%,2.29%,5.18%,3.33%,$111.61,$117.83,$163.72,$255.33,$86.10,18.83%,16.88%,13.99%,,9.03%,9.30%,-7.97%,-6.18%,-3.53%,-5.23%
1943,25.06%,0.38%,2.49%,8.04%,11.45%,$139.59,$118.28,$167.79,$275.88,$95.95,24.68%,22.57%,17.02%,,2.96%,21.47%,-2.50%,-0.46%,4.94%,8.24%
1944,19.03%,0.38%,2.58%,6.57%,16.58%,$166.15,$118.73,$172.12,$293.99,$111.87,18.65%,16.45%,12.46%,,2.30%,16.36%,-1.88%,0.27%,4.17%,13.96%
1945,35.82%,0.38%,3.80%,6.80%,11.78%,$225.67,$119.18,$178.67,$313.98,$125.04,35.44%,32.02%,29.02%,,2.25%,32.84%,-1.83%,1.52%,4.45%,9.32%
1946,-8.43%,0.38%,3.13%,2.51%,24.10%,$206.65,$119.63,$184.26,$321.85,$155.18,-8.81%,-11.56%,-10.94%,,18.13%,-22.48%,-15.03%,-12.70%,-13.23%,5.05%
1947,5.20%,0.60%,0.92%,0.26%,21.26%,$217.39,$120.35,$185.95,$322.70,$188.17,4.60%,4.28%,4.94%,,8.84%,-3.34%,-7.57%,-7.27%,-7.88%,11.42%
1948,5.70%,1.05%,1.95%,3.44%,2.06%,$229.79,$121.61,$189.58,$333.79,$192.05,4.66%,3.75%,2.27%,,2.99%,2.63%,-1.89%,-1.01%,0.43%,-0.91%
1949,18.30%,1.12%,4.66%,5.38%,0.09%,$271.85,$122.96,$198.42,$351.74,$192.22,17.19%,13.64%,12.93%,,-2.07%,20.81%,3.26%,6.88%,7.61%,2.21%
1950,30.81%,1.20%,0.43%,4.24%,3.64%,$355.60,$124.44,$199.27,$366.65,$199.22,29.60%,30.38%,26.57%,,5.93%,23.48%,-4.46%,-5.19%,-1.60%,-2.16%
1951,23.68%,1.52%,-0.30%,-0.19%,6.05%,$439.80,$126.33,$198.68,$365.95,$211.26,22.16%,23.97%,23.87%,,6.00%,16.68%,-4.23%,-5.94%,-5.84%,0.04%
1952,18.15%,1.72%,2.27%,4.44%,4.41%,$519.62,$128.51,$203.19,$382.20,$220.57,16.43%,15.88%,13.71%,,0.75%,17.27%,0.96%,1.50%,3.66%,3.62%
1953,-1.21%,1.89%,4.14%,1.62%,11.52%,$513.35,$130.94,$211.61,$388.39,$245.98,-3.10%,-5.35%,-2.83%,,0.75%,-1.94%,1.13%,3.37%,0.86%,10.69%
1954,52.56%,0.94%,3.29%,6.16%,0.92%,$783.18,$132.17,$218.57,$412.31,$248.25,51.62%,49.27%,46.41%,,-0.74%,53.71%,1.69%,4.06%,6.95%,1.68%
1955,32.60%,1.73%,-1.34%,2.04%,0.00%,"$1,038.47",$134.45,$215.65,$420.74,$248.25,30.87%,33.93%,30.55%,,0.37%,32.10%,1.35%,-1.70%,1.66%,-0.37%
1956,7.44%,2.63%,-2.26%,-2.35%,0.91%,"$1,115.73",$137.98,$210.79,$410.84,$250.52,4.81%,9.70%,9.79%,,2.99%,4.33%,-0.35%,-5.09%,-5.18%,-2.01%
1957,-10.46%,3.23%,6.80%,-0.72%,2.72%,$999.05,$142.43,$225.11,$407.89,$257.33,-13.68%,-17.25%,-9.74%,,2.90%,-12.98%,0.32%,3.79%,-3.52%,-0.18%
1958,43.72%,1.77%,-2.10%,6.43%,0.66%,"$1,435.84",$144.95,$220.39,$434.11,$259.03,41.95%,45.82%,37.29%,,1.76%,41.23%,0.01%,-3.79%,4.59%,-1.08%
1959,12.06%,3.39%,-2.65%,1.57%,0.11%,"$1,608.95",$149.86,$214.56,$440.95,$259.31,8.67%,14.70%,10.48%,,1.73%,10.15%,1.63%,-4.30%,-0.15%,-1.59%
1960,0.34%,2.88%,11.64%,6.66%,0.77%,"$1,614.37",$154.18,$239.53,$470.33,$261.30,-2.55%,-11.30%,-6.33%,6.11%,1.36%,-1.01%,1.50%,10.14%,5.23%,-0.59%
1961,26.64%,2.35%,2.06%,5.10%,0.98%,"$2,044.40",$157.81,$244.46,$494.32,$263.85,24.28%,24.58%,21.54%,6.62%,0.67%,25.79%,1.67%,1.38%,4.40%,0.30%
1962,-8.81%,2.77%,5.69%,6.50%,0.32%,"$1,864.26",$162.19,$258.38,$526.43,$264.70,-11.58%,-14.51%,-15.31%,5.97%,1.33%,-10.01%,1.42%,4.30%,5.09%,-1.00%
1963,22.61%,3.16%,1.68%,5.46%,2.14%,"$2,285.80",$167.31,$262.74,$555.19,$270.38,19.45%,20.93%,17.15%,6.36%,1.64%,20.63%,1.49%,0.04%,3.76%,0.49%
1964,16.42%,3.55%,3.73%,5.16%,1.26%,"$2,661.02",$173.25,$272.53,$583.85,$273.78,12.87%,12.69%,11.25%,6.53%,0.97%,15.30%,2.55%,2.73%,4.15%,0.29%
1965,12.40%,3.95%,0.72%,3.19%,1.66%,"$2,990.97",$180.09,$274.49,$602.47,$278.32,8.45%,11.68%,9.21%,6.66%,1.92%,10.28%,1.99%,-1.18%,1.24%,-0.26%
