Year,US T. Bond
1928,0.84%
1929,4.20%
1930,4.54%
1931,-2.56%
1932,8.79%
1933,1.86%
1934,7.96%
1935,4.47%
1936,5.02%
1937,1.38%
1938,4.21%
1939,4.41%
1940,5.40%
1941,-2.02%
1942,2.29%
1943,2.49%
1944,2.58%
1945,3.80%
1946,3.13%
1947,0.92%
1948,1.95%
1949,4.66%
1950,0.43%
1951,-0.30%
1952,2.27%
1953,4.14%
1954,3.29%
1955,-1.34%
1956,-2.26%
1957,6.80%
1958,-2.10%
1959,-2.65%
1960,11.64%
1961,2.06%
1962,5.69%
1963,1.68%
1964,3.73%
1965,0.72%
1966,2.91%
1967,-1.58%
1968,3.27%
1969,-5.01%
1970,16.75%
1971,9.79%
1972,2.82%
1973,3.66%
1974,1.99%
1975,3.61%
1976,15.98%
1977,1.29%
1978,-0.78%
1979,0.67%
1980,-2.99%
1981,8.20%
1982,32.81%
1983,3.20%
1984,13.73%
1985,25.71%
1986,24.28%
1987,-4.96%
1988,8.22%
1989,17.69%
1990,6.24%
1991,15.00%
1992,9.36%
1993,14.21%
1994,-8.04%
1995,23.48%
1996,1.43%
1997,9.94%
1998,14.92%
1999,-8.25%
2000,16.66%
2001,5.57%
2002,15.12%
2003,0.38%
2004,4.49%
2005,2.87%
2006,1.96%
2007,10.21%
2008,20.10%
2009,-11.12%
2010,8.46%
2011,16.04%
2012,2.97%
2013,-9.10%
2014,10.75%
2015,1.28%
2016,0.69%
2017,2.80%
2018,-0.02%
2019,9.64%
2020,11.33%
2021,-4.42%
